id,Order,MS SubClass,MS Zoning,Lot Area,Lot Shape,Land Contour,Lot Config,Neighborhood,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Style,Exterior 1st,Exterior 2nd,Exter Qual,Foundation,BsmtFin SF 1,Bsmt Unf SF,Total Bsmt SF,Heating QC,Central Air,Electrical,1st Flr SF,2nd Flr SF,Gr Liv Area,Bsmt Full Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Fireplaces,Garage Cars,Garage Area,Paved Drive,Wood Deck SF,Open Porch SF,Mo Sold,Yr Sold,Sale Type,Sale Condition,SalePrice
10,2679,55,RL,8047,Reg,Lvl,Inside,NAmes,1Fam,2Story,5,5,2009,2005,Gable,HdBoard,VinylSd,TA,PConc,0,776,980,Gd,Y,SBrkr,1184,1104,1870,0,2,0,2,0,TA,6,0,1,562,Y,0,9,12,2006,WD ,Normal,171298
11,1128,53,RL,7458,Reg,Lvl,Inside,SawyerW,1Fam,2Story,6,5,2010,2009,Gable,VinylSd,VinylSd,Gd,PConc,566,598,1358,Ex,Y,SBrkr,1215,1047,1760,0,2,0,2,0,Gd,6,0,1,1105,Y,34,10,10,2007,New,Partial,211681
12,1198,83,RL,6197,Reg,Lvl,Inside,Blmngtn,Duplex,1Story,4,4,1972,1971,Gable,AsbShng,VinylSd,TA,CBlock,187,268,1038,Gd,Y,SBrkr,1127,0,1042,0,2,0,2,0,TA,4,0,1,567,Y,40,0,6,2008,WD ,Normal,98428
13,313,18,RL,1234,Reg,Lvl,Inside,NAmes,1Fam,1Story,4,7,1985,1986,Gable,Plywood,Plywood,TA,CBlock,1106,326,1004,TA,Y,SBrkr,1534,0,1394,0,1,0,2,0,TA,5,0,1,564,Y,206,0,5,2009,WD ,Normal,141207
14,637,57,RL,11670,Reg,Lvl,Inside,OldTown,1Fam,2Story,3,4,2002,1999,Gable,CemntBd,Wd Sdng,TA,PConc,639,632,842,Ex,Y,SBrkr,1195,1117,2452,0,2,0,3,0,TA,6,0,0,0,N,0,10,9,2009,WD ,Normal,81518
15,1023,17,RL,6112,Reg,Lvl,Inside,CollgCr,1Fam,1Story,5,5,1966,2006,Gable,VinylSd,VinylSd,TA,CBlock,1033,177,966,Ex,Y,SBrkr,1066,0,1075,0,1,0,2,0,Gd,6,0,1,566,Y,31,12,11,2009,WD ,Normal,140272
16,567,193,RL,8203,IR1,Lvl,Inside,Gilbert,2fmCon,2Story,5,5,1900,2003,Gable,Wd Sdng,Wd Sdng,TA,CBlock,0,28,770,Gd,Y,SBrkr,1882,899,1873,0,2,0,4,1,TA,7,0,1,566,Y,0,0,7,2006,WD ,Normal,86626
17,1709,53,RL,7178,IR1,Lvl,Corner,NridgHt,1Fam,1Story,5,5,2003,2009,Gable,VinylSd,VinylSd,Gd,PConc,0,1461,1636,Ex,Y,SBrkr,1931,0,1682,0,2,0,2,0,Gd,6,0,1,1107,Y,123,15,5,2007,WD ,Normal,368878
18,1927,79,RL,8329,Reg,Lvl,Inside,NridgHt,1Fam,1Story,2,5,1954,1996,Gable,Plywood,Plywood,TA,CBlock,1096,574,1218,TA,Y,SBrkr,1996,835,1828,0,2,0,3,0,TA,6,0,1,566,Y,37,10,4,2007,WD ,Normal,180475
19,2646,26,RL,1436,Reg,Lvl,Inside,OldTown,1Fam,1Story,3,3,1932,1950,Gable,CemntBd,Plywood,TA,BrkTil,684,905,757,TA,N,SBrkr,989,0,966,0,1,0,1,0,TA,4,0,0,0,N,0,0,5,2006,WD ,Normal,76029
20,747,85,RL,17202,IR1,Lvl,Corner,SawyerW,1Fam,1.5Fin,4,6,1977,2005,Gable,Wd Sdng,Wd Sdng,TA,CBlock,1106,34,952,TA,Y,SBrkr,1977,1679,3444,0,2,0,3,0,TA,9,0,1,567,Y,0,0,7,2009,WD ,Normal,171106
21,683,53,RL,8745,IR1,Lvl,Inside,CollgCr,1Fam,2Story,6,5,2001,2003,Gable,MetalSd,MetalSd,TA,PConc,1074,268,1317,Ex,Y,SBrkr,1479,0,1830,0,2,0,2,0,Gd,5,0,1,706,Y,143,13,5,2009,WD ,Normal,207616
22,27,18,RL,1184,Reg,Lvl,Inside,NWAmes,1Fam,1Story,3,6,1925,1950,Gable,MetalSd,MetalSd,TA,BrkTil,0,888,1004,Gd,Y,SBrkr,1534,0,1270,0,2,0,1,0,Gd,6,0,1,378,N,0,0,6,2010,WD ,Normal,157871
23,2561,17,RL,8463,Reg,Lvl,Inside,Sawyer,1Fam,SFoyer,4,4,1979,1969,Hip,HdBoard,HdBoard,TA,CBlock,0,1324,841,Gd,Y,SBrkr,1116,0,1174,0,1,0,1,0,TA,4,0,0,551,Y,257,0,2,2006,WD ,Normal,107875
24,1524,45,RM,6325,IR1,Lvl,Inside,BrkSide,1Fam,1.5Fin,5,6,1914,2006,Gable,Wd Sdng,HdBoard,TA,BrkTil,950,238,1021,Gd,Y,SBrkr,940,765,1782,0,1,0,1,0,Gd,6,0,0,561,Y,247,11,2,2007,WD ,Normal,199380
25,717,70,RM,5633,IR1,Lvl,Inside,OldTown,1Fam,2Story,4,6,1942,1950,Gable,AsbShng,Wd Sdng,TA,BrkTil,0,840,776,TA,Y,SBrkr,726,853,1109,0,1,0,2,0,TA,4,0,0,363,N,31,0,4,2009,WD ,Normal,102023
26,2477,20,RM,1783,Reg,Lvl,Inside,CollgCr,1Fam,1Story,3,7,1954,1969,Gable,MetalSd,MetalSd,TA,BrkTil,0,876,861,TA,Y,SBrkr,1132,0,1014,0,1,0,1,0,TA,4,0,0,378,N,0,59,7,2006,WD ,Normal,112420
27,646,119,RL,1712,IR1,HLS,Inside,NridgHt,TwnhsE,1Story,6,7,1971,1984,Gable,Plywood,Plywood,Gd,PConc,1121,985,1326,Ex,Y,SBrkr,1473,0,1458,0,2,0,1,0,TA,5,0,1,708,Y,210,103,10,2009,WD ,Normal,207402
28,2609,44,RL,11644,Reg,Lvl,Inside,OldTown,1Fam,1.5Fin,5,5,1931,1950,Gable,VinylSd,Wd Sdng,Gd,BrkTil,0,1002,869,Gd,Y,SBrkr,1197,655,1588,0,1,0,2,0,TA,5,0,1,563,Y,0,0,10,2006,WD ,Normal,113383
29,652,50,RL,983,Reg,Lvl,Inside,NAmes,1Fam,1.5Fin,5,4,1963,1949,Gable,MetalSd,Wd Sdng,TA,CBlock,461,312,897,TA,Y,SBrkr,841,644,1251,0,1,0,1,0,TA,4,0,0,378,Y,0,0,10,2009,WD ,Normal,90624
30,1914,54,RM,1295,Reg,Lvl,Inside,Edwards,1Fam,1.5Fin,3,4,1922,1950,Gable,MetalSd,MetalSd,TA,CBlock,0,967,1212,Ex,Y,SBrkr,1966,0,1806,0,2,0,1,0,TA,3,0,0,376,Y,34,10,5,2007,WD ,Normal,102384
31,683,18,RL,6285,Reg,Lvl,Inside,NAmes,1Fam,1Story,3,5,1960,1973,Gable,Plywood,VinylSd,TA,CBlock,0,814,1264,Ex,Y,SBrkr,1503,0,1479,0,1,0,1,0,TA,5,0,0,707,N,0,74,10,2009,WD ,Normal,113201
32,2634,19,RL,8242,Reg,Lvl,Inside,NAmes,1Fam,1Story,7,6,1946,2008,Gable,VinylSd,VinylSd,Gd,CBlock,688,825,987,Ex,Y,SBrkr,1501,0,1407,0,2,0,2,0,Gd,6,1,0,378,Y,0,0,11,2006,New,Partial,284564
33,1109,16,RL,8999,IR1,Lvl,Inside,Timber,1Fam,1Story,5,5,2008,2005,Gable,HdBoard,HdBoard,TA,CBlock,0,0,410,Ex,Y,SBrkr,1544,0,1437,0,1,0,2,0,TA,5,0,0,374,Y,0,0,2,2008,WD ,Normal,186763
34,1779,17,RL,9867,Reg,Lvl,Inside,NridgHt,1Fam,1Story,8,5,2011,2009,Gable,VinylSd,VinylSd,Ex,PConc,1734,603,1875,Ex,Y,SBrkr,1992,0,2370,0,2,0,2,0,Ex,6,0,2,1105,Y,32,11,11,2009,New,Partial,425921
35,1681,17,RL,6921,Reg,Lvl,Inside,NridgHt,1Fam,1Story,6,5,1988,2005,Gable,VinylSd,VinylSd,Gd,CBlock,1118,443,1193,Ex,Y,SBrkr,1471,0,1367,0,2,0,2,0,Gd,6,0,1,566,Y,32,11,11,2007,WD ,Normal,204952
36,18,44,RM,2762,Reg,Lvl,Inside,OldTown,1Fam,1.5Fin,6,5,1934,1950,Gable,MetalSd,MetalSd,Gd,BrkTil,0,956,1312,Ex,Y,FuseA,1208,575,1467,0,1,0,1,0,Gd,6,0,0,358,Y,232,11,6,2010,WD ,Normal,147049
37,935,119,RL,6176,Reg,Lvl,Corner,Somerst,TwnhsE,1Story,7,5,2006,2008,Gable,CemntBd,CmentBd,Gd,PConc,688,564,1003,Ex,Y,SBrkr,1541,0,1533,0,2,0,1,0,Gd,5,0,1,555,Y,0,173,12,2008,New,Partial,235989
38,2204,45,RL,6224,Reg,Lvl,Inside,BrkSide,1Fam,1.5Fin,4,5,1923,1950,Gable,Wd Sdng,Wd Sdng,TA,PConc,670,245,973,Gd,Y,SBrkr,1202,740,1801,0,1,0,2,0,TA,5,0,1,566,Y,0,0,5,2008,WD ,Normal,193274
39,1315,26,RM,8597,Reg,Lvl,Inside,OldTown,2fmCon,2.5Unf,4,6,1934,2006,Gable,Wd Sdng,Wd Sdng,TA,BrkTil,1070,261,939,Ex,Y,SBrkr,1212,768,1892,0,2,0,2,0,TA,4,0,0,1107,Y,0,0,7,2007,WD ,Normal,93450
40,321,17,RL,7793,Reg,Lvl,Inside,Somerst,1Fam,1Story,7,5,2011,2009,Gable,VinylSd,VinylSd,Gd,PConc,268,1703,1805,Ex,Y,SBrkr,1488,0,1691,0,2,0,2,0,Gd,6,0,1,1105,Y,34,16,4,2009,WD ,Normal,273804
41,1337,18,RL,6046,IR1,Lvl,Inside,NAmes,1Fam,1Story,4,7,1963,1966,Gable,Wd Sdng,HdBoard,TA,CBlock,977,241,1049,TA,Y,SBrkr,1013,0,1071,0,1,0,2,0,TA,3,0,1,566,Y,37,0,6,2008,WD ,Normal,141653
42,455,52,RL,7380,IR1,Lvl,Inside,Gilbert,1Fam,2Story,4,6,1975,2002,Gable,HdBoard,HdBoard,TA,CBlock,956,136,929,TA,Y,SBrkr,874,865,1030,0,1,0,1,0,Gd,4,0,1,566,Y,36,9,5,2009,WD ,Normal,146132
43,1331,18,RL,983,Reg,Lvl,Inside,CollgCr,1Fam,1Story,6,5,2009,2007,Hip,VinylSd,VinylSd,Gd,PConc,1572,190,1383,Ex,Y,SBrkr,1419,0,1383,0,1,0,2,0,Gd,5,0,1,707,Y,191,11,5,2008,WD ,Normal,212206
44,2238,53,RL,1764,Reg,Lvl,Corner,Gilbert,1Fam,2Story,6,5,2011,2008,Hip,MetalSd,VinylSd,Gd,PConc,0,109,972,Ex,Y,SBrkr,1204,1665,2470,0,2,0,2,0,Gd,6,0,1,560,Y,35,10,11,2007,ConLI,Normal,212152
45,1367,55,RL,11145,Reg,Lvl,Inside,CollgCr,1Fam,2Story,6,5,2000,2006,Gable,VinylSd,VinylSd,TA,PConc,1004,239,914,Ex,Y,SBrkr,1010,1109,1899,0,2,0,0,0,TA,3,0,1,539,Y,37,9,9,2008,WD ,Normal,174157
46,747,19,RL,10281,IR1,Lvl,Inside,Gilbert,1Fam,1Story,5,5,2006,2006,Gable,VinylSd,VinylSd,TA,PConc,0,884,1583,Gd,Y,SBrkr,1959,0,1794,0,2,0,2,0,Gd,5,0,1,553,Y,32,11,1,2008,WD ,Normal,202337
47,774,56,RL,8857,IR1,Lvl,Inside,Gilbert,1Fam,2Story,5,5,2005,2001,Gable,VinylSd,VinylSd,Gd,PConc,559,608,1017,Ex,Y,SBrkr,862,888,1800,0,2,0,2,0,Gd,6,0,1,566,Y,0,11,10,2009,WD ,Normal,196430
48,2418,62,RL,3815,Reg,Lvl,Inside,NAmes,1Fam,1Story,6,7,1963,1949,Gable,Plywood,Plywood,Gd,CBlock,557,606,1014,TA,Y,SBrkr,1554,0,2330,0,1,0,3,0,Gd,6,1,0,366,N,32,57,6,2006,WD ,Normal,145770
49,1278,78,RL,6687,Reg,Lvl,Inside,Edwards,1Fam,SFoyer,4,4,1985,1950,Gable,MetalSd,MetalSd,TA,CBlock,1033,0,1050,Ex,Y,SBrkr,1118,0,927,0,1,0,1,0,TA,4,0,0,378,Y,42,0,5,2008,WD ,Normal,115464
50,2163,52,RL,7974,Reg,Lvl,Inside,SawyerW,1Fam,2Story,4,5,2007,2003,Gable,VinylSd,VinylSd,TA,PConc,967,145,1043,Ex,Y,SBrkr,1173,1111,1754,0,1,0,2,0,TA,6,0,1,565,Y,0,0,5,2007,WD ,Normal,187558
51,643,153,RL,6305,Reg,Lvl,Inside,NAmes,1Fam,SLvl,5,5,1958,1998,Gable,Wd Sdng,Wd Sdng,TA,CBlock,516,636,896,TA,Y,SBrkr,1806,850,1834,0,1,0,1,0,TA,6,1,1,565,Y,0,0,11,2010,WD ,Normal,156164
52,2574,54,RL,6174,Reg,Lvl,Inside,CollgCr,1Fam,2Story,7,5,1999,2002,Gable,VinylSd,VinylSd,Gd,PConc,655,373,750,Ex,Y,SBrkr,1203,893,1770,0,2,0,2,0,Gd,6,0,1,566,Y,0,11,7,2006,WD ,Normal,176381
53,2605,157,RL,6524,IR1,Lvl,Corner,MeadowV,1Fam,2Story,6,5,1983,1999,Gable,Wd Sdng,Wd Sdng,TA,CBlock,366,310,598,TA,Y,SBrkr,759,891,1849,0,1,0,2,0,TA,6,0,1,377,Y,0,0,3,2006,WD ,Normal,137260
54,278,17,RL,7444,Reg,Lvl,Inside,NAmes,1Fam,1Story,6,7,2011,2009,Gable,VinylSd,VinylSd,Gd,PConc,1090,609,1240,Ex,Y,SBrkr,1525,0,1408,0,1,0,2,0,Gd,5,0,1,566,Y,0,0,5,2009,WD ,Normal,219225
55,1934,56,RM,1964,Reg,Lvl,Inside,OldTown,1Fam,1.5Fin,5,7,1938,1980,Gable,MetalSd,MetalSd,TA,CBlock,0,917,781,TA,Y,SBrkr,880,892,1167,0,1,0,2,0,TA,4,0,0,374,Y,0,10,7,2007,WD ,Normal,111686
56,2023,44,RL,7667,Reg,Lvl,Inside,IDOTRR,1Fam,1.5Fin,5,7,1920,1950,Gable,Wd Sdng,Wd Sdng,TA,CBlock,638,498,876,TA,Y,SBrkr,1207,696,1813,0,1,0,3,0,TA,6,0,0,376,Y,0,0,2,2007,WD ,Normal,109119
57,1712,17,RL,7824,Reg,Lvl,Inside,Somerst,1Fam,1Story,5,5,2010,2009,Gable,VinylSd,VinylSd,TA,PConc,0,1275,1893,Ex,Y,SBrkr,1504,0,1496,0,2,0,2,0,TA,5,0,1,566,Y,115,103,11,2008,WD ,Normal,192899
58,134,80,RL,8682,IR1,Lvl,Inside,Somerst,Duplex,1Story,4,5,2006,2005,Gable,Wd Sdng,Plywood,Gd,PConc,538,1447,1924,Ex,Y,SBrkr,1965,0,1820,0,2,0,3,1,Gd,6,0,1,566,Y,0,16,6,2010,WD ,Normal,195732
59,1519,54,RL,6775,IR1,Lvl,Inside,CollgCr,1Fam,2Story,6,5,2009,2008,Gable,VinylSd,VinylSd,Gd,PConc,0,853,1033,Ex,Y,SBrkr,1181,1105,2471,0,2,0,2,0,Gd,6,0,1,565,Y,31,10,5,2007,New,Partial,205342
60,315,18,RL,3568,Reg,Lvl,Inside,CollgCr,1Fam,1Story,4,5,2004,2001,Gable,VinylSd,VinylSd,Gd,PConc,0,95,1962,Ex,Y,SBrkr,1114,0,1052,0,2,0,2,0,Gd,4,0,1,708,Y,0,23,2,2010,WD ,Normal,245646
61,2422,47,RL,11021,Reg,Lvl,Inside,OldTown,1Fam,1Story,4,6,1936,1950,Gable,Plywood,MetalSd,TA,CBlock,0,866,750,TA,Y,SBrkr,1171,0,1497,0,1,0,1,0,TA,5,0,1,706,Y,50,0,9,2007,WD ,Normal,125928
62,2083,65,RM,8503,Reg,Lvl,Inside,OldTown,1Fam,2Story,7,5,1940,1950,Gable,MetalSd,MetalSd,TA,BrkTil,0,719,930,TA,Y,SBrkr,1089,1106,1795,0,1,0,2,0,TA,6,0,1,565,Y,0,51,12,2007,WD ,Normal,116625
63,26,17,RL,6472,Reg,Lvl,Corner,NAmes,1Fam,1Story,5,6,1965,1974,Gable,Plywood,Wd Sdng,TA,CBlock,0,935,996,Gd,Y,SBrkr,1514,0,1107,0,1,0,2,0,TA,6,0,0,378,Y,0,0,9,2009,WD ,Normal,143279
64,1878,56,RL,7782,Reg,Lvl,Inside,OldTown,1Fam,1Story,4,4,1926,2004,Gable,Wd Sdng,VinylSd,TA,PConc,0,941,1241,Gd,Y,SBrkr,1201,858,1805,0,2,0,2,0,Gd,6,0,1,565,Y,0,10,6,2007,WD ,Normal,123745
65,1044,158,FV,6652,Reg,Lvl,Inside,Somerst,1Fam,2Story,5,5,2011,2003,Gable,VinylSd,VinylSd,Gd,PConc,1069,229,886,Ex,Y,SBrkr,1025,845,1845,0,2,0,2,0,Gd,6,0,1,566,Y,243,51,7,2009,WD ,Normal,202664
66,945,17,RL,10808,Reg,Lvl,Corner,CollgCr,1Fam,1Story,7,5,2010,2009,Gable,VinylSd,VinylSd,Gd,PConc,481,1930,1564,Ex,Y,SBrkr,1968,0,1696,0,2,0,2,0,Gd,6,0,2,1107,Y,147,62,10,2009,WD ,Normal,297778
67,699,18,RL,8146,IR1,Lvl,Inside,CollgCr,1Fam,1Story,5,5,2001,2004,Gable,VinylSd,VinylSd,TA,PConc,1019,543,1268,TA,Y,SBrkr,1482,0,1403,0,2,0,2,0,TA,5,0,1,707,Y,0,13,5,2009,WD ,Normal,188166
68,2624,18,FV,6236,Reg,Lvl,Inside,Somerst,1Fam,1Story,7,5,2009,2008,Gable,VinylSd,Plywood,Gd,PConc,0,1211,652,Ex,Y,SBrkr,1189,0,1048,0,2,0,0,0,Gd,6,0,1,565,Y,53,0,5,2006,WD ,Normal,265780
69,2735,45,RL,7724,IR1,Lvl,Inside,IDOTRR,1Fam,1.5Fin,4,7,1919,1950,Gable,Wd Sdng,Wd Sdng,Gd,CBlock,0,268,841,TA,Y,SBrkr,1144,675,1255,0,1,0,2,0,TA,5,0,1,564,Y,0,0,9,2006,WD ,Normal,134870
70,2229,18,RL,6988,IR1,Lvl,Inside,Gilbert,1Fam,1Story,5,5,1975,2008,Gable,VinylSd,Plywood,Gd,CBlock,512,275,1005,TA,Y,SBrkr,1007,0,994,0,1,0,1,0,TA,4,0,1,562,Y,36,0,9,2007,WD ,Normal,126974
71,738,17,RL,10228,Reg,Lvl,Inside,CollgCr,1Fam,2Story,5,5,2005,2005,Gable,Wd Sdng,Wd Sdng,TA,CBlock,0,297,1284,Ex,Y,SBrkr,1533,0,1845,0,2,0,1,0,TA,4,0,1,563,Y,0,0,10,2010,WD ,Normal,209077
72,873,17,RL,7625,Reg,Lvl,Inside,OldTown,1Fam,1Story,8,5,2008,2009,Hip,MetalSd,MetalSd,Ex,PConc,1776,602,1912,Ex,Y,SBrkr,1942,0,1721,0,2,0,2,0,Ex,6,1,2,1105,Y,234,87,7,2008,WD ,Normal,431933
73,570,17,FV,11564,Reg,Lvl,Corner,Somerst,1Fam,1Story,6,5,2009,2008,Gable,VinylSd,VinylSd,Gd,PConc,644,1585,1796,Ex,Y,SBrkr,1498,0,1405,0,2,0,2,0,Gd,6,0,1,566,Y,0,68,2,2009,WD ,Normal,216269
74,2600,193,RM,8415,Reg,Lvl,Inside,OldTown,2fmCon,2Story,4,6,1964,1950,Gable,HdBoard,MetalSd,TA,CBlock,0,299,847,TA,Y,SBrkr,1612,758,1172,0,1,0,2,1,TA,5,0,0,375,Y,0,0,5,2006,WD ,Normal,110910
75,1238,18,RL,6196,Reg,Lvl,Inside,NAmes,1Fam,1Story,6,6,1957,1974,Hip,Wd Sdng,Wd Sdng,TA,CBlock,1106,138,1211,Ex,Y,SBrkr,1515,0,1474,0,1,0,2,0,TA,5,1,0,378,Y,0,60,10,2008,WD ,Normal,186363
76,1791,17,RL,6325,Reg,Lvl,Inside,NAmes,1Fam,1Story,4,7,1961,1973,Gable,Wd Sdng,Wd Sdng,TA,CBlock,300,376,1091,Gd,Y,SBrkr,1463,0,1486,0,1,0,2,0,TA,5,0,0,378,Y,0,0,5,2007,WD ,Normal,120308
77,831,54,RL,8650,IR1,Lvl,Inside,Gilbert,1Fam,2Story,5,5,1996,2004,Gable,VinylSd,VinylSd,TA,PConc,989,84,994,Gd,Y,SBrkr,908,897,1859,0,2,0,2,0,Gd,6,0,1,564,Y,32,9,1,2009,WD ,Normal,188728
78,2051,18,RL,7195,Reg,Lvl,Inside,Somerst,1Fam,1Story,6,5,2010,2007,Gable,VinylSd,Plywood,TA,PConc,33,1786,1616,Ex,Y,SBrkr,1488,0,1757,0,2,0,3,0,Gd,5,0,1,566,Y,32,9,2,2007,WD ,Normal,188960
79,1892,53,RL,960,IR1,Lvl,Inside,Edwards,1Fam,2Story,5,5,2006,2001,Gable,VinylSd,MetalSd,TA,PConc,0,925,721,Ex,Y,SBrkr,885,0,1033,0,2,0,2,0,TA,4,0,0,376,Y,119,11,4,2007,WD ,Normal,139689
80,2137,17,RL,6783,Reg,Lvl,Inside,NAmes,TwnhsE,1Story,5,5,1979,1972,Gable,Wd Sdng,Wd Sdng,TA,CBlock,0,895,880,Gd,Y,SBrkr,1145,0,1135,0,2,0,1,0,TA,4,0,1,538,Y,0,0,7,2007,WD ,Normal,132040
81,19,17,RL,6250,Reg,Lvl,Inside,Sawyer,1Fam,1Story,4,7,1984,1985,Gable,HdBoard,HdBoard,TA,CBlock,0,239,935,TA,Y,SBrkr,1116,0,1130,0,1,0,2,0,TA,4,0,1,566,Y,0,0,6,2010,WD ,Normal,142673
82,2021,46,RL,6642,IR1,Lvl,Inside,Crawfor,1Fam,2Story,6,5,1927,2001,Gable,VinylSd,VinylSd,Gd,BrkTil,494,866,996,Ex,Y,SBrkr,1126,861,1615,0,2,0,2,0,Gd,6,0,0,378,N,0,27,7,2007,WD ,Normal,254649
83,1102,58,RL,6483,IR1,Lvl,Inside,OldTown,1Fam,2Story,7,5,2001,1950,Gable,VinylSd,VinylSd,TA,PConc,0,767,897,Ex,Y,SBrkr,919,833,1124,0,1,0,2,0,TA,4,0,1,551,Y,0,0,2,2008,WD ,Normal,132977
84,2105,20,RL,7389,Reg,Lvl,Inside,CollgCr,1Fam,1Story,5,6,1983,2006,Gable,MetalSd,Plywood,TA,CBlock,1106,30,1052,Ex,Y,SBrkr,1170,0,1097,0,1,0,2,0,TA,5,0,0,378,Y,0,0,5,2007,WD ,Normal,140058
85,157,119,RL,2408,Reg,Lvl,Inside,NAmes,1Fam,1Story,5,7,1980,1966,Gable,VinylSd,VinylSd,TA,CBlock,368,622,877,TA,Y,SBrkr,1192,0,1081,0,1,0,1,0,TA,4,0,0,0,Y,0,0,4,2010,New,Partial,133434
86,877,180,RL,7637,IR1,Lvl,Inside,Gilbert,2fmCon,2Story,5,5,1957,2004,Gable,HdBoard,HdBoard,TA,CBlock,1100,160,662,Gd,Y,SBrkr,808,755,1537,0,2,0,2,1,TA,6,0,0,377,Y,0,0,11,2008,WD ,Normal,116475
87,1222,56,RL,9595,Reg,Lvl,Inside,NoRidge,1Fam,2Story,6,5,2007,2002,Gable,VinylSd,MetalSd,Gd,PConc,0,784,1350,Ex,Y,SBrkr,1098,1580,2610,0,2,0,3,0,Gd,6,0,1,707,Y,130,9,2,2010,WD ,Normal,256865
88,42,17,RL,6448,Reg,Lvl,Corner,NAmes,1Fam,1Story,4,6,1980,1986,Gable,HdBoard,HdBoard,TA,CBlock,697,430,1304,Gd,Y,SBrkr,1067,0,1004,0,1,0,2,0,TA,5,0,0,567,Y,0,0,2,2010,WD ,Normal,168065
89,926,56,RL,8503,IR1,Lvl,Inside,CollgCr,1Fam,2Story,5,5,2003,2005,Gable,VinylSd,VinylSd,Gd,PConc,466,931,997,Gd,Y,SBrkr,910,1084,1804,0,2,0,2,0,Gd,6,0,1,560,Y,115,10,7,2008,WD ,Normal,199171
